"state","total_firms","total_pop","female_firms","female_pop","female_firm_prop","female_pop_prop","female_target","female_needed","female_progress","female_met","female_hisp_firms","female_hisp_pop","female_hisp_firm_prop","female_hisp_pop_prop","female_hisp_target","female_hisp_needed","female_hisp_progress","female_hisp_met","hisp_firms","hisp_pop","hisp_firm_prop","hisp_pop_prop","hisp_target","hisp_needed","hisp_progress","hisp_met","female_baa_firms","female_baa_pop","female_baa_firm_prop","female_baa_pop_prop","female_baa_target","female_baa_needed","female_baa_progress","female_baa_met","baa_firms","baa_pop","baa_firm_prop","baa_pop_prop","baa_target","baa_needed","baa_progress","baa_met","female_aian_firms","female_aian_pop","female_aian_firm_prop","female_aian_pop_prop","female_aian_target","female_aian_needed","female_aian_progress","female_aian_met","aian_firms","aian_pop","aian_firm_prop","aian_pop_prop","aian_target","aian_needed","aian_progress","aian_met","female_asian_firms","female_asian_pop","female_asian_firm_prop","female_asian_pop_prop","female_asian_target","female_asian_needed","female_asian_progress","female_asian_met","asian_firms","asian_pop","asian_firm_prop","asian_pop_prop","asian_target","asian_needed","asian_progress","asian_met","female_nhpi_firms","female_nhpi_pop","female_nhpi_firm_prop","female_nhpi_pop_prop","female_nhpi_target","female_nhpi_needed","female_nhpi_progress","female_nhpi_met","nhpi_firms","nhpi_pop","nhpi_firm_prop","nhpi_pop_prop","nhpi_target","nhpi_needed","nhpi_progress","nhpi_met","female_white_firms","female_white_pop","female_white_firm_prop","female_white_pop_prop","female_white_target","female_white_needed","female_white_progress","female_white_met","white_firms","white_pop","white_firm_prop","white_pop_prop","white_target","white_needed","white_progress","white_met"
"Alabama",67787,4921532,12376,2544566,0.182571879563928,0.51702721835396,35047.7240505599,22671.7240505599,0.353118507271581,"No",348,107886,0.00513372770590231,0.0219212229037625,1485.97393697735,1137.97393697735,0.234189840979226,"No",759,226557,0.0111968371516662,0.0460338366183538,3120.49568284835,2361.49568284835,0.243230588067084,"No",716,707418,0.0105624972339829,0.143739388466843,9743.6619260019,9027.6619260019,0.0734836661449926,"No",2094,1319751,0.0308908787820674,0.268158573387311,18177.6652142057,16083.6652142057,0.115196312360487,"No",80,17358,0.00118016728871318,0.00352695055116984,239.08139701215,159.08139701215,0.334614072862953,"No",470,34897,0.0069334828211899,0.00709067826847413,480.655807785056,10.6558077850555,0.977830689627658,"No",1004,40283,0.0148110994733503,0.00818505294692791,554.840184113402,0,1,"Yes",4553,75551,0.0671662708188886,0.0153511142465395,1040.60598143017,0,1,"Yes",0,2550,0,0.000518131346093046,35.1225695576093,35.1225695576093,0,"No",16,5393,0.000236033457742635,0.001095796999796,74.2807912251713,58.2807912251713,0.215398890293163,"No",10639,1731214,0.156947497307743,0.351763231449069,23844.974170238,13205.974170238,0.446173685240515,"No",56169,3396053,0.828610205496629,0.690039808742481,46775.7285152266,0,1,"Yes"
"Alaska",15497,731158,3830,349621,0.247144608633929,0.478174348088922,7410.26787233402,3580.26787233402,0.516850411615911,"No",0,25367,0,0.034694279485419,537.657249185538,537.657249185538,0,"No",325,53556,0.0209718009937407,0.0732481898577325,1135.12719822528,810.127198225281,0.286311525711059,"No",28,11605,0.00180680131638382,0.0158720823679697,245.969660456427,217.969660456427,0.113835177672086,"No",0,26657,0,0.0364586040226599,564.998986539161,564.998986539161,0,"No",0,56183,0,0.0768411205238813,1190.80684475859,1190.80684475859,0,"No",0,113812,0,0.1556599257616,2412.26186952752,2412.26186952752,0,"No",0,25514,0,0.0348953304210581,540.772935535137,540.772935535137,0,"No",0,48557,0,0.066411090352564,1029.17266719368,1029.17266719368,0,"No",4,5672,0.000258114473769117,0.00775755719010118,120.218863774998,116.218863774998,0.0332726485211706,"No",24,11642,0.0015486868426147,0.0159226870252394,246.753880830135,222.753880830135,0.0972629079601854,"No",3236,222552,0.208814609279215,0.304382910396932,4717.02196242126,1481.02196242126,0.686026061735561,"No",12679,473485,0.818158353229657,0.647582328306604,10035.5833417674,0,1,"Yes"
"Arizona",111329,7421401,25100,3735475,0.225457877103001,0.503338251093021,56036.144155935,30936.144155935,0.447925180757491,"No",2504,1177700,0.0224918933970484,0.158689713707695,17666.767137364,15162.767137364,0.141735043006494,"No",8623,2366919,0.0774551105282541,0.318931560226971,35506.3316685084,26883.3316685084,0.242858093043951,"No",447,192079,0.00401512633725265,0.0258817708408426,2881.39166594016,2434.39166594016,0.155133370198789,"No",1308,395074,0.0117489602888735,0.0532344229883279,5926.53507686756,4618.53507686756,0.220702313077566,"No",257,198875,0.00230847308428172,0.0267975009031314,2983.33897804471,2726.33897804471,0.0861450884030746,"No",899,391444,0.00807516460221506,0.0527452970133267,5872.08117119665,4973.08117119665,0.153097338710118,"No",0,148276,0,0.0199795159970469,2224.29953643524,2224.29953643524,0,"No",6236,281163,0.0560141562396141,0.0378854343000735,4217.74751519289,0,1,"Yes",0,9864,0,0.00132912909570578,147.970613095829,147.970613095829,0,"No",317,20949,0.00284741621679886,0.00282278238300289,314.257539917328,0,1,"Yes",22707,3072080,0.203963028501109,0.413948794843453,46084.5053811268,23377.5053811268,0.492725262259173,"No",96425,6105819,0.866126525882744,0.822731314478223,91593.8545095461,0,1,"Yes"
"Arkansas",47519,3030522,9007,1543666,0.189545234537764,0.509372972708992,24204.8942901586,15197.8942901586,0.372114824879121,"No",218,116595,0.00458763862875902,0.038473569899839,1828.22556807045,1610.22556807045,0.119241303593671,"No",1042,243163,0.0219280708769124,0.0802379920026979,3812.8291419762,2770.8291419762,0.273287881832525,"No",0,249903,0,0.0824620312936187,3918.51326504147,3918.51326504147,0,"No",0,475874,0,0.157027073223689,7461.76949251647,7461.76949251647,0,"No",0,15934,0,0.00525784006847665,249.847302213942,249.847302213942,0,"No",218,31714,0.00458763862875902,0.0104648638089412,497.279863337075,279.279863337075,0.438384933862145,"No",607,27221,0.0127738378332877,0.00898228094037925,426.829008005882,0,1,"Yes",2488,53246,0.0523580041667544,0.0175699103982746,834.904572215612,0,1,"Yes",0,5979,0,0.00197292743626346,93.7515388438031,93.7515388438031,0,"No",0,12835,0,0.00423524396127136,201.254557795654,201.254557795654,0,"No",8190,1210109,0.172352111786864,0.399307116067793,18974.6748484255,10784.6748484255,0.431627949644661,"No",40821,2388414,0.859045855342074,0.788119670472612,37450.658621188,0,1,"Yes"
"California",763943,39368078,171932,19790589,0.225058675843617,0.502706507541465,384039.11749075,212107.11749075,0.447693977434841,"No",21516,7742745,0.0281644049359704,0.196675717823969,150249.037901596,128733.037901596,0.143202248084222,"No",84785,15569780,0.110983411066009,0.39549251045479,302133.734914364,217348.734914364,0.280620765582603,"No",4397,1283247,0.00575566501689262,0.0325961302962263,24901.58556689,20504.58556689,0.176575101540779,"No",13729,2555258,0.0179712360738956,0.0649068516883146,49585.1349993261,35856.1349993261,0.2768773343097,"No",2535,328777,0.00331831039750348,0.00835136020610404,6379.96316993174,3844.96316993174,0.397337716924018,"No",9632,667270,0.0126082705123288,0.0169495193542342,12948.4666640317,3316.46666403171,0.743871861427099,"No",49072,3265079,0.0642351589058346,0.0829372213700654,63359.3097051118,14287.3097051118,0.774503387558859,"No",168089,6233297,0.220028195820892,0.158333790133214,120957.990635738,0,1,"Yes",0,102219,0,0.00259649455073728,1983.57383657389,1983.57383657389,0,"No",0,203774,0,0.00517612264434144,3954.26266128613,3954.26266128613,0,"No",118283,13990001,0.154832232247694,0.355364084576341,271477.904863504,153194.904863504,0.435700283083706,"No",545040,28073011,0.713456370436014,0.71309071781457,544760.662239416,0,1,"Yes"
"Colorado",138395,5807719,32993,2881832,0.238397340944398,0.49620720286226,68672.5958401224,35679.5958401224,0.480439097959999,"No",2012,625527,0.0145380974746197,0.107706140741313,14905.9913478941,12893.9913478941,0.134979281353485,"No",6966,1274247,0.0503341883738574,0.219405759817236,30364.6601299064,23398.6601299064,0.229411426645251,"No",0,125656,0,0.0216360330105503,2994.3187884951,2994.3187884951,0,"No",1252,269041,0.00904656960150294,0.0463247274876763,6411.11066065696,5159.11066065696,0.195285975592832,"No",396,47377,0.00286137504967665,0.00815759164656554,1128.96989592644,732.969895926439,0.350762231507546,"No",1185,96393,0.00856244806532028,0.0165973939166134,2296.99633108971,1111.99633108971,0.515891115697964,"No",1897,110883,0.0137071425990823,0.0190923493371494,2642.28568651479,745.285686514792,0.717939021386505,"No",6069,206907,0.0438527403446656,0.0356262071219355,4930.48893464026,0,1,"Yes",0,6001,0,0.00103328001922958,143.000788261278,143.000788261278,0,"No",178,12285,0.00128617363344051,0.00211528829132401,292.745323077787,114.745323077787,0.608037040963086,"No",30986,2497531,0.223895371942628,0.4300364738721,59514.8978015293,28528.8978015293,0.520642749036255,"No",122752,5033960,0.886968459843202,0.866770585835851,119956.715226753,0,1,"Yes"
"Connecticut",66032,3557006,11803,1822086,0.178746668282045,0.512252720405869,33825.0716338404,22022.0716338404,0.348942350448466,"No",858,309057,0.0129937000242307,0.0868868368509921,5737.31161094471,4879.31161094471,0.149547394003011,"No",2620,612929,0.039677732008723,0.172315987097014,11378.36925999,8758.36925999,0.230261467186933,"No",0,232368,0,0.0653268507278312,4313.66260726015,4313.66260726015,0,"No",943,444545,0.0142809546886358,0.124977298323365,8252.50096288845,7309.50096288845,0.114268390181434,"No",0,10975,0,0.0030854600751306,203.739099681024,203.739099681024,0,"No",0,22803,0,0.00641072857341258,423.31322915958,423.31322915958,0,"No",1377,91964,0.0208535255633632,0.0258543280500511,1707.21298980097,330.212989800973,0.806577742921538,"No",5648,178587,0.0855342864065907,0.050207112386091,3315.27604507836,0,1,"Yes",0,1932,0,0.000543153427348731,35.8655071146914,35.8655071146914,0,"No",18,4106,0.000272595105403441,0.00115434160077323,76.2234845822582,58.2234845822582,0.236147692520865,"No",10255,1438380,0.155303489217349,0.404379413473016,26701.9814304502,16446.9814304502,0.384053896026812,"No",54517,2815645,0.82561485340441,0.791577242208756,52269.4284575286,0,1,"Yes"
"Delaware",20398,986809,0,510069,0,0.51688725984461,10543.4663263104,10543.4663263104,0,"No",0,47725,0,0.0483629557492889,986.507571373994,986.507571373994,0,"No",444,97078,0.0217668398862634,0.0983756735092607,2006.6669882419,1562.6669882419,0.221262423013697,"No",205,121945,0.0100500049024414,0.123575078865312,2520.68445869464,2315.68445869464,0.0813271170427103,"No",558,230739,0.027355623100304,0.233823363994451,4769.52897875881,4211.52897875881,0.11699268470431,"No",0,3421,0,0.00346672963055667,70.714351004095,70.714351004095,0,"No",30,6898,0.00147073242474752,0.00699020783150539,142.586259347047,112.586259347047,0.210398955252635,"No",447,21169,0.0219139131287381,0.0214519729755201,437.577344754659,0,1,"Yes",2256,41543,0.110599078341014,0.0420983189249389,858.721509430903,0,1,"Yes",0,553,0,0.000560392132621409,11.4308787212115,11.4308787212115,0,"No",1,1136,4.90244141582508e-05,0.0011511852850957,23.481877445382,22.481877445382,0.0425860326682124,"No",0,348341,0,0.352997388552395,7200.44073169175,7200.44073169175,0,"No",15579,677898,0.763751348171389,0.686959685207573,14012.6036588641,0,1,"Yes"
"District of Columbia",15331,712816,2924,374884,0.190724675494097,0.525919732441472,8062.8754180602,5138.8754180602,0.362649780430747,"No",234,40150,0.0152631922249038,0.0563258961639469,863.532314089471,629.532314089471,0.270980015665928,"No",419,81115,0.0273302459069858,0.113795144890126,1744.59336631052,1325.59336631052,0.240170579626876,"No",758,177175,0.0494423064379362,0.248556429709771,3810.6186238805,3052.6186238805,0.198917833248844,"No",1612,324186,0.105146435327115,0.454796188637741,6972.48036800521,5360.48036800521,0.231194627294617,"No",0,1962,0,0.00275246346883347,42.198017440686,42.198017440686,0,"No",0,4240,0,0.0059482390967655,91.192453592512,91.192453592512,0,"No",349,18698,0.0227643337029548,0.0262311732621041,402.150117281318,53.150117281318,0.867835131714912,"No",1972,32460,0.128628269519275,0.0455376983681623,698.138453682297,0,1,"Yes",0,549,0,0.000770184732104779,11.8077021278984,11.8077021278984,0,"No",2,1089,0.000130454634400887,0.00152774348499473,23.4218353684541,21.4218353684541,0.0853904046603331,"No",1777,165101,0.115908942665188,0.231617977149783,3550.93520768333,1773.93520768333,0.500431547203401,"No",8744,329706,0.570347661600678,0.462540122556172,7091.20261890867,0,1,"Yes"
"Florida",465663,21733312,105083,11113132,0.22566319419838,0.511340931377601,238112.552128088,133029.552128088,0.441316507932235,"No",22181,2910341,0.0476331596025452,0.133911527152419,62357.643468377,40176.643468377,0.355706193599963,"No",77524,5749737,0.166480910014324,0.264558710609777,123195.202858681,45671.2028586807,0.629277749466666,"No",4963,1912916,0.0106579221454142,0.0880176937596994,40986.5833292229,36023.5833292229,0.121088404957664,"No",15149,3692972,0.0325321101311463,0.169922191334666,79126.4773834747,63977.4773834747,0.191452981365297,"No",1101,54773,0.00236437080034274,0.00252023253519758,1173.57904303771,72.579043037711,0.938155811942717,"No",2502,113961,0.0053729843255745,0.00524360944157982,2441.75490339438,0,1,"Yes",7820,351332,0.0167932603621074,0.0161655986901582,7527.72118285515,0,1,"Yes",30567,654244,0.0656418912389432,0.0301032810829753,14017.9841789415,0,1,"Yes",84,12876,0.000180387962968928,0.000592454569280559,275.884172094893,191.884172094893,0.304475604244188,"No",547,25891,0.00117466923504766,0.00119130485036059,554.746590533463,7.74659053346306,0.986035803255656,"No",92300,8529056,0.198212011690858,0.392441612212625,182745.538467768,90445.5384677678,0.505073890032503,"No",404025,16750159,0.8676338897443,0.770713593951994,358892.804300467,0,1,"Yes"
